Актив,TF,test_баров,ROC-AUC,Sh maker,Sh taker,BH,%long
BTC,1h,6514,0.5293,0.61,-1.05,0.51,6.4
BTC,4h,1582,0.5199,2.06,1.88,0.6,1.5
ETH,1h,6514,0.527,0.12,-2.34,0.33,45.3
ETH,4h,1582,0.5154,-0.06,-0.42,0.43,38.8
BNB,1h,6514,0.5312,-0.4,-2.26,0.94,6.8
BNB,4h,1582,0.5133,2.32,2.2,1.08,0.7
SOL,1h,6514,0.5099,-0.87,-2.21,0.0,38.5
SOL,4h,1582,0.5209,0.68,0.28,0.14,12.8
XRP,1h,6514,0.5322,-0.47,-2.43,0.27,40.0
XRP,4h,1582,0.5103,1.31,1.22,0.34,6.1
